Id,Name,Socket,Core,Thread,Frequency,Frequency_bost,Cahe,Price,Recommended,Link
98,INTEL Core i7 11700,LGA 1200,8,16,2.5,4.9,16,31 190,0,https://www.citilink.ru/product/processor-intel-core-i7-11700-lga-1200-box-bx8070811700-s-rkns-1469349/
99,INTEL Core i7 11700,LGA 1200,8,16,2.5,4.9,16,30 590,0,https://www.citilink.ru/product/processor-intel-core-i7-11700-lga-1200-oem-cm8070804491214s-rkns-1469350/
100,INTEL Core i7 9700KF,LGA 1151v2,8,8,3.6,4.9,12,24 690,0,https://www.citilink.ru/product/processor-intel-core-i7-9700kf-lga-1151v2-box-bez-kulera-bx80684i79700-1162941/
101,INTEL Core i7 10700,LGA 1200,8,16,2.9,4.8,16,26 490,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700-soc-1200-bx8070110700-s-rh6y-2-1369048/
102,INTEL Core i5 11400,LGA 1200,6,12,2.6,4.4,12,18 590,0,https://www.citilink.ru/product/processor-intel-core-i5-11400-lga-1200-box-bx8070811400-s-rkp0-1470855/
103,INTEL Core i9 10900F,LGA 1200,10,20,2.8,5.2,20,33 990,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900f-soc-1200-bx8070110900f-s-rh90-1369056/
104,INTEL Core i5 9500,LGA 1151v2,6,6,3,4.4,9,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9500-soc-1151v2-3ghz-iuhdg630-oem-1374252/
105,INTEL Core i7 10700K,LGA 1200,8,16,3.8,5.1,16,30 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700k-soc-1200-bx8070110700k-s-rh72-1369051/
106,INTEL Core i5 11600K,LGA 1200,6,12,3.9,4.9,12,24 790,0,https://www.citilink.ru/product/processor-intel-core-i5-11600k-lga-1200-box-bez-kulera-bx8070811600k-s-1469351/
107,INTEL Core i9 10900K,LGA 1200,10,20,3.7,5.3,20,47 990,0,https://www.citilink.ru/product/processor-intel-core-i9-10900k-lga-1200-oem-cm8070104282844s-rh91-1456333/
108,INTEL Core i9 10900F,LGA 1200,10,20,2.8,5.2,20,33 990,0,https://www.citilink.ru/product/processor-intel-core-i9-10900f-lga-1200-box-bx8070110900f-s-rh90-1454423/
109,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 290,0,https://www.citilink.ru/product/processor-intel-core-i5-10400-soc-1200-2-9ghz-iuhdg630-oem-1409480/
110,INTEL Core i9 10900KF,LGA 1200,10,20,3.7,5.3,20,44 590,0,https://www.citilink.ru/product/processor-intel-core-i9-10900kf-lga-1200-box-bez-kulera-bx8070110900kf-1446374/
111,INTEL Core i3 10105,LGA 1200,4,8,3.7,4.4,6,14 790,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10105-soc-1200-bx8070110105-s-rh3p-3-1470844/
112,INTEL Core i9 10900,LGA 1200,10,20,2.8,5.2,20,37 490,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900-soc-1200-bx8070110900-s-rh8z-2-1369055/
113,AMD Ryzen 9 5900X,SocketAM4,12,24,3.7,4.8,64,58 990,0,https://www.citilink.ru/product/processor-amd-ryzen-9-5900x-socketam4-box-bez-kulera-100-100000061wof-1431164/
114,INTEL Core i7 11700K,LGA 1200,8,16,3.6,5,16,37 590,0,https://www.citilink.ru/product/processor-intel-core-i7-11700k-lga-1200-oem-cm8070804488629s-rknl-1469348/
115,INTEL Core i3 10105F,LGA 1200,4,8,3.7,4.4,6,11 990,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10105f-soc-1200-cm8070104291323s-rh8v-1470849/
116,AMD Ryzen 3 4300GE,SocketAM4,4,8,3.5,4,4,14 590,0,https://www.citilink.ru/product/processor-amd-ryzen-3-4300ge-am4-100-000000151-3-5ghz-amd-radeon-oem-1512697/
117,INTEL Core i9 11900K,LGA 1200,8,16,3.5,5.3,16,60 590,0,https://www.citilink.ru/product/processor-intel-core-i9-11900k-lga-1200-box-bez-kulera-bx8070811900k-s-1469339/
118,INTEL Pentium Gold G6405,LGA 1200,2,4,4.1,,4,9990,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6405-soc-1200-bx80701g6405-s-rh3z-4-1470837/
119,INTEL Core i9 10900KF,LGA 1200,10,20,3.7,5.3,20,43 590,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900kf-soc-1151v2-cm8070104282846s-r-1400712/
120,INTEL Core i7 9700K,LGA 1151v2,8,8,3.6,4.9,12,26 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700k-lga-1151v2-box-bez-kulera-1163493/
121,AMD Ryzen 7 3800XT,SocketAM4,8,16,3.9,4.7,32,35 190,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3800xt-am4-100-000000279-4-7ghz-oem-1411822/
122,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 790,0,https://www.citilink.ru/product/processor-intel-core-i3-10100-soc-1200-3-6ghz-iuhdg630-box-1496287/
123,INTEL Core i5 9500,LGA 1151v2,6,6,3,4.4,9,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9500-lga-1151v2-oem-cm8068403362610s-rf4b-1424579/
124,INTEL Core i7 11700KF,LGA 1200,8,16,3.6,5,16,35 990,0,https://www.citilink.ru/product/processor-intel-core-i7-11700kf-lga-1200-oem-cm8070804488630s-rknn-1471343/
125,INTEL Pentium Gold G6400,LGA 1200,2,4,4,,4,9590,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g6400-soc-1200-4ghz-iuhdg610-box-1507541/
126,INTEL Core i7 8700,LGA 1151v2,6,12,3.2,4.6,12,26 590,0,https://www.citilink.ru/product/processor-intel-core-i7-8700-lga-1151v2-oem-cm8068403358316s-r3qs-1029309/
127,INTEL Core i5 11600,LGA 1200,6,12,2.8,4.8,12,21 790,0,https://www.citilink.ru/product/processor-intel-core-i5-11600-lga-1200-oem-cm8070804491513s-rknw-1469356/
128,INTEL Celeron G5925,LGA 1200,2,2,3.6,,4,7590,0,https://www.citilink.ru/product/processor-intel-celeron-g5925-lga-1200-oem-cm8070104292013s-rk26-1424694/
129,INTEL Core i7 10700K,LGA 1200,8,16,3.8,5.1,16,30 990,0,https://www.citilink.ru/product/processor-intel-core-i7-10700k-soc-1200-3-8ghz-iuhdg630-box-w-o-cooler-1499356/
130,INTEL Core i9 11900K,LGA 1200,8,16,3.5,5.3,16,56 790,0,https://www.citilink.ru/product/processor-intel-core-i9-11900k-lga-1200-oem-cm8070804400161s-rknd-1469340/
131,INTEL Core i7 11700K,LGA 1200,8,16,3.6,5,16,37 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-11700k-soc-1200-bx8070811700k-s-rknl-1492509/
132,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,19 790,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-box-1182258/
133,INTEL Core i7 11700F,LGA 1200,8,16,2.5,4.9,16,29 990,0,https://www.citilink.ru/product/processor-intel-core-i7-11700f-lga-1200-box-bx8070811700f-s-rknr-1471339/
134,INTEL Pentium Gold G6405,LGA 1200,2,4,4.1,,4,9590,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6405-soc-1200-cm8070104291810s-rh3y-1470839/
135,INTEL Core i9 10850K,LGA 1200,10,20,3.6,5.2,20,36 990,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10850k-soc-1200-bx8070110850k-s-rk51-1504677/
136,INTEL Core i5 10600K,LGA 1200,6,12,4.1,4.8,12,20 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600k-soc-1200-bx8070110600k-s-rh6r-1412414/
137,AMD Ryzen 9 5950X,SocketAM4,16,32,3.4,4.9,64,95 990,0,https://www.citilink.ru/product/processor-amd-ryzen-9-5950x-socketam4-box-bez-kulera-100-100000059wof-1431151/
138,INTEL Core i5 9600K,LGA 1151v2,6,6,3.7,4.6,9,17 790,0,https://www.citilink.ru/product/processor-intel-core-i5-9600k-soc-1151v2-3-7ghz-iuhdg630-box-w-o-coole-1490103/
139,INTEL Core i9 10900,LGA 1200,10,20,2.8,5.2,20,36 590,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900-soc-1200-cm8070104282624s-rh8z-1490082/
140,INTEL Pentium Gold G6600,LGA 1200,2,4,4.2,,4,9590,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6600-soc-1200-cm8070104291510s-rh3s-1363353/
141,INTEL Core i7 11700KF,LGA 1200,8,16,3.6,5,16,36 990,0,https://www.citilink.ru/product/processor-intel-core-i7-11700kf-lga-1200-box-bez-kulera-bx8070811700kf-1471342/
142,INTEL Core i9 11900,LGA 1200,8,16,2.5,5.2,16,40 690,0,https://www.citilink.ru/product/processor-intel-core-i9-11900-lga-1200-oem-cm8070804488245s-rknj-1469345/
143,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,11 990,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-oem-1201481/
